name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Casio - Edifice,Edifice,Casio,"EGP 12,495.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,ECB-10P-1ADF
Casio - G,G-Shock,Casio,"EGP 22,995.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,GG-1000-1A5DR
Casio - G,G-Shock,Casio,"EGP 7,395.00",Men,China,Quartz,Resin,Resin,Mineral Glass,GA-700SKE-7ADR
Casio - General,General,Casio,"EGP 4,595.00",Men,China,Quartz,Stainless Steel,Leather,Mineral Glass,MTP-1374L-7A1VDF
Casio - Youth,Youth,Casio,"EGP 2,195.00",Unisex,China,Quartz,Resin,Resin,Resin,F-91WS-2DF
Casio - General,General,Casio,"EGP 2,595.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01D-2BUDF
Casio - General,General,Casio,"EGP 2,595.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01D-7BUDF
Casio - G,G-Shock,Casio,"EGP 11,495.00",Men,China,Quartz,Resin,Resin,Mineral,GA-2200MFR-5ADR
Casio - General,General,Casio,"EGP 2,495.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VT01D-2BUDF
Casio - General,General,Casio,"EGP 2,595.00",Men,China,Quartz,Resin,Resin,Mineral,WS-1300H-8AVDF
Casio - General,General,Casio,"EGP 1,675.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V001D-7BUDF
Casio - General,General,Casio,"EGP 2,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1303D-1AVDF
Casio - Enticer,Enticer,Casio,"EGP 2,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1314D-2AVDF
Lacoste - Neocroc,Neocroc,Lacoste,"EGP 6,345.00",Kids,China,Quartz,Plastic,Rubber,Mineral,2001219
Casio - General,General,Casio,"EGP 2,495.00",Unisex,China,Quartz,Resin,Resin,Mineral,LWS-1200H-7A1VDF
Casio - Enticer,Enticer,Casio,"EGP 4,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1374D-5AVDF
Casio - General,General,Casio,"EGP 1,675.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V001D-1BUDF
D1 Milano - Dawn Light,Dawn Light,D1 Milano,"EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating",Mineral with Anti-Reflective Coating,PCBJ12
Casio - G,G-Shock,Casio,"EGP 18,595.00",Unisex,China,Quartz,Stainless Steel,Resin,Mineral Glass,GM-2100G-1A9DR
FOSSIL - DRESS,Unknown,Unknown,"EGP 11,995.00",Unisex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gucci - YA126.4076,Gucci,Unknown,"EGP 65,600.00",Unisex,Switzerland,Unknown,Stainless Steel,Stainless Steel,Sapphire,YA126.4076
Casio - G,G-Shock,Unknown,"EGP 7,995.00",Unisex,China,Unknown,Resin,Resin,Mineral,DW-5700BBM-1DR
Casio - G,G-Shock,Casio,"EGP 5,550.00",Men,China,Quartz,Resin,Resin,Mineral,DW-9052GBX-1A9DR
Casio - G,G-Shock,Casio,"EGP 7,295.00",Men,China,Quartz,Resin,Resin,Mineral,GA-700-1BDR
Casio - General,General,Casio,"EGP 2,795.00",Men,China,Quartz,Resin,Resin,Acrylic,AE-1400WH-1AVDF
Casio - Youth,Youth,Casio,"EGP 3,595.00",Men,China,Quartz,Resin,Resin,Mineral,DW-291H-1AVDF
Casio - G,G-Shock,Casio,"EGP 8,795.00",Men,China,Quartz,Resin,Resin,Mineral,GA-900A-1A9DR
Casio - G,G-Shock,Unknown,"EGP 27,795.00",Unisex,China,Unknown,Resin,Resin,Mineral,GG-B100-1A3DR
Hugo Boss - Play,Play,Hugo Boss,"EGP 5,500.00",Men,China,Quartz,Plastic,Silicone,Mineral,HB152.0007
Casio - Youth,Unknown,Unknown,"EGP 3,195.00",Unisex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tommy Hilfiger - Denim,Denim,Unknown,"EGP 7,315.00",Unisex,China,Unknown,Blue Tr90,Silicone,Mineral,179.1745
Casio - G,G-Shock,Casio,"EGP 7,995.00",Men,China,Quartz,Carbon / Resin,Resin,Mineral Glass,GA-2100SKE-7ADR
Tommy Hilfiger - Asher,Asher,Tommy Hilfiger,"EGP 13,360.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.1856
Casio - Enticer,Enticer,Casio,"EGP 1,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V004D-1B2UDF
Casio - Youth,Youth,Casio,"EGP 2,195.00",Unisex,China,Quartz,Resin,Resin,Resin,F-91WS-8DF
Lacoste - Tiebraker,Tiebraker,Lacoste,"EGP 10,885.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011155
Lacoste - Tiebraker,Tiebraker,Lacoste,"EGP 9,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011152
Tommy Hilfiger - Connor,Connor,Tommy Hilfiger,"EGP 13,725.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1897
Casio - General,General,Casio,"EGP 3,395.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01G-1BUDF
Casio - General,General,Casio,"EGP 1,995.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V002D-7B3UDF
Boss - Advise,Advise,Boss,"EGP 6,595.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0233
Tommy Hilfiger - Owen,Owen,Tommy Hilfiger,"EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1968
Casio - Vintage,Vintage,Casio,"EGP 4,250.00",Women,China,Quartz,Resin,Stainless Steel,Resin Glass,B640WC-5ADF
Casio - Edifice,Edifice,Casio,"EGP 11,875.00",Men,China,Quartz,Rose Gold Plated Stainless Steel,Silicone,Mineral,EFR-556PC-2AVUDF
Casio - G,G-Shock,Casio,"EGP 12,195.00",Women,China,Quartz,Resin,Resin,Mineral,GMA-S120NP-4ADR
Casio - G,G-Shock,Casio,"EGP 37,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,GST-B400BD-1A2DR
Casio - Enticer Ladies,Enticer Ladies,Casio,"EGP 2,995.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-1165A-1C2DF
Casio - G,G-Shock,Casio,"EGP 7,950.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-2100VB-1ADR
Casio - General,General,Casio,"EGP 2,950.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VD02D-2EUDF
Tommy Jeans - Tokyo,Tokyo,Tommy Jeans,"EGP 6,900.00",Men,China,Quartz,Plated Stainless Steel,Rubber,Mineral,179.2000
Lacoste - Rider,Rider,Lacoste,"EGP 4,530.00",Women / Kids,China,Quartz,Plastic,Silicone,Mineral,2030045
Casio - G,G-Shock,Casio,"EGP 12,995.00",Men,China,Quartz,Resin,Resin,Mineral,GX-56MF-1DR
Casio - G,G-Shock,Casio,"EGP 8,495.00",Men,China,Quartz,Resin,Resin,Mineral,GA-700MF-1ADR
Casio - General,General,Casio,"EGP 3,395.00",Unisex,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,MTP-VT01G-5BUDF
Casio - General,General,Casio,"EGP 2,395.00",Women,China,Quartz,Stainless Steel,Leather,Mineral,LTP-VT01L-7B3UDF
Casio - General,General,Casio,"EGP 3,095.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200HS-4EVDF
Casio - General,General,Casio,"EGP 3,095.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200HS-2EVDF
Casio - G,Unknown,Unknown,"EGP 7,695.00",Unisex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Casio - G,G-Shock,Casio,"EGP 11,195.00",Men,China,Quartz,Resin,Resin,Mineral,GA-B2100-1ADR
Casio - General,General,Casio,"EGP 1,795.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V001GL-7BUDF
Casio - General,General,Casio,"EGP 2,695.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,MTP-VD01-5EVUDF
Lacoste - Endurance,Endurance,Lacoste,"EGP 7,900.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011205
Frederique Constant - Classics,Classics,Frederique Constant,"EGP 62,690.00",Men,Switzerland,Quartz,Stainless Steel,Leather,Mineral,FC-270N4P4
Casio - G,G-Shock,Casio,"EGP 17,650.00",Unisex,China,Quartz,Stainless Steel,Resin,Mineral,GM-5600G-9DR
Lacoste - 12.12 x Netflix,12.12 x Netflix,Lacoste,"EGP 5,900.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011266
Lacoste - Le Croc,Le Croc,Lacoste,"EGP 10,900.00",Men,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,2011133
Casio - G,G-Shock,Casio,"EGP 18,695.00",Men,China,Quartz,Stainless Steel,Fabric,Mineral,GM-2100C-5ADR
HUGO - Sport Casual,Sport Casual,Hugo Boss,"EGP 12,700.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0283
Hugo Boss - Runner,Runner,Hugo Boss,"EGP 19,900.00",Men,China,Quartz,Plated Stainless Steel,Rubber,Mineral,HB151.4168
Hugo Boss - Lit,Lit,Hugo Boss,"EGP 5,900.00",Men,China,Quartz,Black TR90,Silicone,Mineral,HB153.0343
Lacoste - Neocroc,Neocroc,Lacoste,"EGP 5,900.00",Men,China,Quartz,Plastic,Silicone,Mineral,2011309
Lacoste - Mainsail,Mainsail,Lacoste,"EGP 8,900.00",Men,China,Quartz,Stainless Steel,Silicone,Mineral,2011361
Lacoste - Mainsail,Mainsail,Lacoste,"EGP 9,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011382
Lacoste - Lisbon,Lisbon,Lisbon,"EGP 7,500.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,2011322
Frederique Constant - Classics,Classics,Frederique Constant,"EGP 47,870.00",Men,Switzerland,Quartz,Stainless Steel,Calf leather with crocodile pattern,Mineral,FC-292MC4P6
Frederique Constant - Highlife Automatic,Highlife Automatic,Frederique Constant,"EGP 113,890.00",Men,Switzerland,Automatic,Stainless Steel,Stainless Steel / Rubber,Mineral,FC-303BL4NH6B
Casio - G,G-Shock,Casio,"EGP 24,795.00",Men,Unknown,Quartz,Stainless steel,Stainless Steel - One-touch 3-fold Clasp,Mineral,GM-2110D-2ADR
D1 Milano - Pure Black,Pure Black,D1 Milano,"EGP 25,990.00",Unisex,China,Quartz,Ceramic,Black Ceramic,"Sapphire, Anti-Reflective Coating",CEBU01
D1 Milano - Moss,Moss,D1 Milano,"EGP 22,990.00",Unisex,China,Quartz,"316L Stainless Steel, Brushed and Polished",Silver Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJ06
D1 Milano - Linen,Linen,D1 Milano,"EGP 22,990.00",Unisex,China,Quartz,"316L Stainless Steel, Brushed and Polished",Silver Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJ23
D1 Milano - Shadow,Shadow,D1 Milano,"EGP 23,490.00",Men,China,Quartz,"316L Stainless Steel, Brushed and Polished",Black Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJSH
D1 Milano - Nebula,Nebula,D1 Milano,"EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU01
D1 Milano - White Sketch,White Sketch,D1 Milano,"EGP 13,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBJ34
Casio - General,General,Casio,"EGP 1,850.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V005D-1B2UDF
Tommy Hilfiger - Larson,Larson,Tommy Hilfiger,"EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1917
Tommy Hilfiger - Mason,Mason,Tommy Hilfiger,"EGP 14,640.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1937
Tommy Hilfiger - Girls,Girls,Tommy Hilfiger,"EGP 6,405.00",Kids,China,Quartz,Stainless Steel,Silicone,Mineral,172.0022
Lacoste - Tiebreaker,Tiebreaker,Lacoste,"EGP 9,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011154
Tommy Hilfiger - Delphine,Delphine,Tommy Hilfiger,"EGP 10,990.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,178.2358
Tommy Hilfiger - Larson,Larson,Tommy Hilfiger,"EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1916
Lacoste - Lacsote.12.12,Lacsote.12.12,Lacoste,"EGP 6,345.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011193
Lacoste - Lacoste.12.12,Lacoste.12.12,Lacoste,"EGP 6,345.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2001227
Lacoste - Neocroc,Neocroc,Lacoste,"EGP 6,345.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011186
Lacoste - Vienna,Vienna,Lacoste,"EGP 10,885.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2070015
Hugo Boss - Street Diver,Street Diver,Hugo Boss,"EGP 8,340.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0220
Fossil - Grant,Grant,Fossil,"EGP 11,995.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,FS4735
Calvin Klein - Sport,Sport,Calvin Klein,"EGP 12,270.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200115
Casio - G,G-Shock,Casio,"EGP 6,350.00",Men,China,Quartz,Resin,Resin,Mineral,DW-5900BB-1DR
Casio - Edifice,Edifice,Casio,"EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,EFV-620D-2AVUDF
Casio - General,General,Casio,"EGP 3,450.00",Men,China,Quartz,Resin,Resin,Mineral,WS-2100H-1A2VDF
Calvin Klein - Iconic,Iconic,Calvin Klein,"EGP 11,715.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200041
Calvin Klein - Timeless,Timeless,Calvin Klein,"EGP 10,060.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200047
Calvin Klein - Open Link,Open Link,Calvin Klein,"EGP 13,910.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,25200086
Calvin Klein - Sensation,Sensation,Calvin Klein,"EGP 12,805.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200251
Tommy Hilfiger - Communion,Communion,Tommy Hilfiger,"EGP 6,405.00",Women,China,Quartz,Stainless Steel,Rubber,Mineral,172.0039
Casio - General,General,Casio,"EGP 3,895.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VD200L-2BUDF
Casio - General,General,Casio,"EGP 4,195.00",Men,China,Quartz,Plated Stainless Steel,Leather,Mineral,MTP-VD200GL-1BUDF
Casio - General,General,Casio,"EGP 2,875.00",Unisex,China,Quartz,Resin,Resin,Mineral,AE-1500WH-8B2VDF
Casio - General,General,Casio,"EGP 2,595.00",Women,China,Quartz,Stainless Steel,Leather,Mineral,LTP-VT01GL-1BUDF
Tommy Hilfiger - Samantha,Samantha,Tommy Hilfiger,"EGP 7,315.00",Women,China,Quartz,Stainless Steel,Rubber,Mineral,178.2498
Casio - General,General,Casio,"EGP 2,895.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-1165A-1CDF
Tommy Hilfiger - Kane,Kane,Tommy Hilfiger,"EGP 13,725.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.1399
Casio - General,General,Casio,"EGP 4,850.00",Unisex,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,DB-360G-9ADF
Casio - General,General,Casio,"EGP 2,595.00",Men,Casio,Quartz,Resin,Resin,Resin Glass,AE-1500WH-2AVDF
Raymond Weil - Freelancer Diver,Freelancer Diver,Raymond Weil,"EGP 111,550.00",Men,Switzerland,Mechanical self-winding movement – RW4200,Stainless steel with yellow gold PVD plating and blue ceramic bezel,Stainless steel with yellow gold PVD plating,Sapphire with antiglare treatment on both sides,2775.SP3.50051
Hugo Boss - Rase,Rase,Hugo Boss,"EGP 7,900.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0115
Hugo Boss - Stand,Stand,Hugo Boss,"EGP 7,245.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,HB153.0140
Hugo Boss - Seek,Seek,Unknown,"EGP 12,700.00",Unisex,China,Unknown,Stainless Steel,Leather,Mineral,HB153.0176
Lacoste - 12.12,12.12,Lacoste,"EGP 7,995.00",Women,China,Quartz,Stainless Steel,Leather,Mineral,2001091
Tommy Hilfiger - Sport,Sport,Tommy Hilfiger,"EGP 9,145.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1817
Frederique Constant - Classics,Classics,Unknown,"EGP 33,850.00",Unisex,Switzerland,Unknown,Stainless Steel,Leather,Convex Sapphire,FC-220MS3B6
Frederique Constant - Classics,Classics,Unknown,"EGP 38,080.00",Unisex,Switzerland,Unknown,Stainless Steel,Stainless Steel,Convex Sapphire,FC-220MS3B7
Emporio Armani - Renato,Renato,Emporio Armani,"EGP 24,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,AR2434
Casio - Youth,Youth,Casio,"EGP 3,650.00",Unisex,China,Quartz,Resin,Resin,Resin,MWD-100H-2AVDF
Casio - Edifice,Edifice,Casio,"EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,EFV-570D-1AVUDF
Casio - Edifice,Edifice,Casio,"EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,EFV-C100D-2AVDF
Casio - G,G-Shock,Casio,"EGP 16,295.00",Women,China,Quartz,Stainless Steel,Resin,Mineral,GM-S5600PG-1DR
Casio - G,G-Shock,Unknown,"EGP 9,795.00",Unisex,China,Unknown,Resin,Resin,Mineral,GMA-S140NC-5A2DR
Casio - G,G-Shock,Unknown,"EGP 10,650.00",Unisex,China,Unknown,Resin,Resin,Mineral,GMA-B800-9ADR
Casio - Edifice,Edifice,Casio,"EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral Glass,EFV-540D-1A2VUDF
Casio - Edifice,Edifice,Casio,"EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral Glass,EFV-550D-1AVUDF
Casio - Edifice,Edifice,Casio,"EGP 10,325.00",Men,China,Quartz,Stainless Steel,Genuine Leather Band,Mineral Glass,EFV-610CL-7AVUDF
Casio - G,G-Shock,Casio,"EGP 12,195.00",Men,China,Quartz,Resin,Resin,Mineral Glass,GBD-100SM-1DR
Tommy Hilfiger - Talia,Talia,Tommy Hilfiger,"EGP 13,360.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,178.2370
Tommy Hilfiger - Asher,Asher,Tommy Hilfiger,"EGP 12,805.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1851
Tommy Hilfiger - Damon,Damon,Tommy Hilfiger,"EGP 12,805.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1846
Tommy Hilfiger - Damon,Damon,Tommy Hilfiger,"EGP 12,080.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.1847
Casio - G,G-Shock,Casio,"EGP 9,495.00",Men,China,Quartz,Resin,Resin,Mineral,GA-2200M-4ADR
Lacoste - Ladycroc,Ladycroc,Lacoste,"EGP 10,885.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2001191
Casio - General,General,LTP,"EGP 2,095.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V002D-2B3UDF
Casio - General,General,Casio,"EGP 1,875.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V005D-7BUDF
Armani Exchange - Giacomo,Giacomo,Armani Exchange,"EGP 14,495.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,AX2854
Hugo Boss - First,First,HB153.0246,"EGP 7,245.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,HB153.0246
Lacoste - Le Croc,Le Croc,Lacoste,"EGP 9,060.00",Men,China,Quartz,Stainless Steel,Silicone,Mineral,2011174
Lacoste - 12.12 Women's Watch Peanuts,12.12 Women's Watch Peanuts,Lacoste,"EGP 6,515.00",Women,China,Quartz,Plastic,Fabric (Cotton),Mineral,2001188
Tommy Hilfiger - San Diego Red,San Diego Red,Tommy Hilfiger,"EGP 6,900.00",Men,China,Quartz,Black Tr90,Silicone,Mineral,179.1929
Casio - Edifice,Edifice,Casio,"EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,EFV-550D-2AVUDF
