name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Casio - Youth,Youth,Casio,"EGP 1,375.00",Unisex,China,Quartz,Resin,Resin,Acrylic,F-91WM-7ADF
Casio - General,General,Casio,"EGP 3,350.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1302D-7A2VDF
Lacoste - Rider,Rider,Lacoste,"EGP 4,530.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2030044
Casio - General,General,Casio,"EGP 2,695.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-1314L-8AVDF
Casio - General,General,Casio,"EGP 3,495.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,MTP-VD300-1BUDF
Casio - General,General,Casio,"EGP 2,295.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-1B2UDF
Casio - General,General,Casio,"EGP 1,775.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V005L-1B4UDF
Casio - General,General,Casio,"EGP 2,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VD01D-2EVUDF
Casio - Vintage,Vintage,Casio,"EGP 4,795.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,B640WGG-9DF
Lacoste - Lacoste.12.12,Lacoste.12.12,Lacoste,"EGP 5,900.00",Unisex,China,Quartz,Resin,Silicone,Mineral,2010985
Casio - G,G-Shock,Casio,"EGP 9,695.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-400HR-1ADR
Casio - Vintage,Casio,Vintage,"EGP 4,195.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,A159WGEA-1DF
Casio - G,G-Shock,Unknown,"EGP 27,795.00",Unisex,China,Unknown,Resin,Resin,Mineral,GG-B100-1ADR
Casio - General,General,Casio,"EGP 4,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral Glass,MTP-1375D-1AVDF
Casio - General,General,Casio,"EGP 2,395.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-7B1UDF
Casio - General,General,Casio,"EGP 1,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V005D-2B4UDF
Casio - General,General,Casio,"EGP 2,495.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VT01D-1B2UDF
Casio - General,General,Casio,"EGP 3,095.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200HS-7EVDF
Casio - General,General,Casio,"EGP 2,695.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,MTP-VD01-3EVUDF
Casio - General,General,Casio,"EGP 4,595.00",Men,China,Quartz,Stainless Steel,Leather,Mineral Glass,MTP-1375L-7AVDF
Casio - Youth,Youth,Casio,"EGP 1,925.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200H-1BVDF
Casio - General,General,Casio,"EGP 2,875.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01D-1BUDF
Casio - General,General,Casio,"EGP 3,795.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,MWA-100H-1A2VDF
D1 Milano - Cloudburst,Cloudburst,D1 Milano,"EGP 10,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating",Mineral with Anti-Reflective Coating,PCBJ11
Casio - General,General,Casio,"EGP 2,625.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LA670WA-7DF
Casio - General,General,Casio,"EGP 1,675.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V005L-7B4UDF
Casio - General,General,Casio,"EGP 2,395.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-1BUDF
Casio - General,General,Casio,"EGP 2,225.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V002D-7B3UDF
Casio - General,General,Casio,"EGP 2,675.00",Men,China,Quartz,Resin,Resin,Mineral,WS-1500H-3BVDF
Casio - G,G-Shock,Casio,"EGP 18,995.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,GM-110G-1A9DR
Casio - General,General,Casio,"EGP 3,595.00",Unisex,China,Quartz,Stainless Steel,Rubber,Mineral,MTP-VD300-5BUDF
Casio - General,General,Casio,"EGP 1,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V005D-1B4UDF
Casio - General,General,Casio,"EGP 2,675.00",Men,China,Quartz,Resin,Resin,Mineral,WS-1500H-5BVDF
Frederique Constant - Heart Beat,Heart Beat,Frederique Constant,"EGP 112,850.00",Men,Switzerland,Automatic,Stainless Steel,Stainless Steel,Mineral,FC-310B4NH6B
Casio - General,General,Casio,"EGP 2,375.00",Men,China,Quartz,Resin,Cloth Band,Mineral,W-219HB-3AVDF
Casio - General,General,Casio,"EGP 2,395.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-7B2UDF
Tommy Hilfiger - Ladies Gift Set,Ladies Gift Set,Tommy Hilfiger,"EGP 12,805.00",Women,China,Quartz,Stainless Steel,Silicone,Mineral,277.0152
Casio - G,G-Shock,Casio,"EGP 21,495.00",Men,Unknown,Quartz,Stainless steel,Resin,Mineral,GBM-2100-1ADR
D1 Milano - Light Blue,Light Blue,D1 Milano,"EGP 22,990.00",Unisex,China,Quartz,316L Stainless Steel,"316L Stainless Steel, Brushed and Polished","Sapphire, Anti-Reflective Coating",UTBU08
D1 Milano - Chocolate,Chocolate,D1 Milano,"EGP 23,490.00",Unisex,China,Quartz,"316L Stainless Steel, Sandblasted and Polished",Brown Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJ10
D1 Milano - Charcoal Black,Charcoal Black,D1 Milano,"EGP 15,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Black Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PHBJ07
Casio - G,G-Shock,Casio,"EGP 4,195.00",Unisex,China,Quartz,Resin/Stainless Steel,Aluminum,Mineral,LA680WGA-1BDF
Casio - G,G-Shock,Casio,"EGP 10,450.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-110RG-7ADR
Casio - G,G-Shock,Casio,"EGP 10,495.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-400GB-1ADR
Lacoste - Lacoste.12.12 Kids,Lacoste.12.12 Kids,Unknown,"EGP 4,500.00",Unisex,China,Unknown,Plastic,Silicone,Mineral,2030001
Casio - G,G-Shock,Casio,"EGP 7,175.00",Men,China,Quartz,Resin,Resin,Mineral,DW-5600HR-1DR
