name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Frederique Constant - Classics - FC - 252DGS5B6B,Classics,"
      Frederique Constant","EGP 44,070.00",Men,Switzerland,Quartz,Stainless Steel,Stainless Steel,Sapphire crystal,FC-252DGS5B6B
Frederique Constant - Highlife - FC - 303V2NH3B,Highlife,"
      Frederique Constant","EGP 119,690.00",Women,Switzerland,Automatic,Stainless Steel,Stainless steel & yellow gold,Mineral,FC-303V2NH3B
Frederique Constant - Classics Heart Beat - FC - 310MC5B6,Classics Heart Beat,"
      Frederique Constant","EGP 74,090.00",Men,Switzerland,Automatic,Stainless Steel,Leather,Mineral,FC-310MC5B6
Tommy Hilfiger - Casual - 178.1584,Casual,"
      Tommy Hilfiger","EGP 9,455.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,178.1584
Gucci - G - Timeless - YA126.4126,G-Timeless,"
      Gucci","EGP 57,540.00",Unisex,Switzerland,Quartz,Stainless Steel,Stainless Steel,Mineral,YA126.4126
Calvin Klein - Impressive - 25200300,Impressive,"
      Calvin Klein","EGP 10,950.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,25200300
Frederique Constant - Highlife - FC - 303BD2NH6B,Highlife,"
      Frederique Constant","EGP 103,680.00",Women,Switzerland,Automatic,Stainless Steel,Stainless Steel,Mineral,FC-303BD2NH6B
Tommy Hilfiger - Luca - 171.0492,Luca,"
      Tommy Hilfiger","EGP 13,900.00",Men,China,Quartz,Stainless Steel,Tommy Hilfiger - Luca - 171.0492,Mineral,171.0492
Tommy Hilfiger - Ladies Gift Set - 277.0150,Ladies Gift Set,"
      Tommy Hilfiger","EGP 12,805.00",Women,China,Quartz,Stainless Steel,Rubber,Mineral,277.0150
Tommy Hilfiger - Jameson - 179.2051,Jameson,"
      Tommy Hilfiger","EGP 12,900.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.2051
Tommy Hilfiger - Troy - 179.2106,Troy,"
      Tommy Hilfiger","EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.2106
Tommy Hilfiger - Troy - 179.2104,Troy,"
      Tommy Hilfiger","EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.2104
Tommy Hilfiger - Troy - 179.2102,Troy,"
      Tommy Hilfiger","EGP 12,900.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.2102
Tommy Hilfiger - Dexter - 179.2086,Dexter,"
      Tommy Hilfiger","EGP 12,900.00",Men,China,Quartz,Plated Stainless Steel,Leather,Mineral,179.2086
Lacoste - Ladycroc - 2001264,Ladycroc,"
      Lacoste","EGP 7,610.00",Women,China,Quartz,Plated Stainless Steel,Leather,Mineral,2001264
Casio - G - Shock - GMA - S110SG - 7ADR,G-Shock,"
      Casio","EGP 11,995.00",Women,China,Quartz,Resin,Resin,Mineral,GMA-S110SG-7ADR
Frederique Constant - Highlife Automatic - FC - 303N4NH6B,Highlife Automatic,"
      Frederique Constant","EGP 113,890.00",Men,Switzerland,Automatic,Stainless Steel,Stainless Steel,Mineral,FC-303N4NH6B
Frederique Constant - Classics - FC - 296SW5B6B,Classics,"
      Frederique Constant","EGP 62,690.00",Men,Switzerland,Quartz,Stainless Steel,Stainless Steel,Mineral,FC-296SW5B6B
Tommy Hilfiger - Juliette - 178.2643,Juliette,"
      Tommy Hilfiger","EGP 11,500.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,178.2643
Casio - G - Shock - GBD - 100 - 1DR,G-Shock,"
      Casio","EGP 10,595.00",Men,China,Quartz,Resin,Resin,Mineral,GBD-100-1DR
Casio - G - Shock - GBX - 100 - 8DR,G-Shock,"
      Casio","EGP 12,995.00",Men,China,Quartz,Resin,Resin,Mineral,GBX-100-8DR
